Treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,PER_RS,EM_Days,FLO_Week,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Type,HBT,LC
4 Days,Amphibromus nervosus,Pooideae,Poeae,115,60,52.17,2,NA,17.9,6.42,742,917.01,238,3.85,320.75,C3,Tufed ,p
4 Days,Amphibromus nervosus,Pooideae,Poeae,88,72,81.82,2,NA,15.6,5.64,742,917.01,238,3.85,320.75,C3,Tufed,p
4 Days,Amphibromus nervosus,Pooideae,Poeae,68,44,64.71,4,NA,15.6,4.36,742,917.01,238,3.85,320.75,C3,Tufed,p
4 Days,Amphibromus nervosus,Pooideae,Poeae,154,59,38.31,2,NA,15.6,9.87,742,917.01,238,3.85,320.75,C3,Tufed,p
4 Days,Amphibromus nervosus,Pooideae,Poeae,87,37,42.53,4,NA,9.63,9.04,742,917.01,238,3.85,320.75,C3,Tufed,p
8 Days,Amphibromus nervosus,Pooideae,Poeae,90,63,70,2,NA,17.9,5.03,539,915.09,166,5.51,307.98,C3,Tufed,p
8 Days,Amphibromus nervosus,Pooideae,Poeae,57,51,89.47,2,NA,15.6,3.65,539,915.09,166,5.51,307.98,C3,Tufed,p
8 Days,Amphibromus nervosus,Pooideae,Poeae,98,66,67.35,2,NA,13.45,7.29,539,915.09,166,5.51,307.98,C3,Tufed,p
8 Days,Amphibromus nervosus,Pooideae,Poeae,71,58,81.69,2,NA,17.9,3.97,539,915.09,166,5.51,307.98,C3,Tufed,p
8 Days,Amphibromus nervosus,Pooideae,Poeae,66,37,56.06,2,NA,15.6,4.23,539,915.09,166,5.51,307.98,C3,Tufed,p
11 Days,Amphibromus nervosus,Pooideae,Poeae,73,53,72.6,4,NA,28.73,2.54,302,484.02,102,4.75,337.75,C3,Tufed,p
11 Days,Amphibromus nervosus,Pooideae,Poeae,45,54,120,2,NA,11.46,3.93,302,484.02,102,4.75,337.75,C3,Tufed,p
11 Days,Amphibromus nervosus,Pooideae,Poeae,77,85,110.39,2,NA,15.6,4.94,302,484.02,102,4.75,337.75,C3,Tufed,p
11 Days,Amphibromus nervosus,Pooideae,Poeae,58,57,98.28,2,NA,17.9,3.24,302,484.02,102,4.75,337.75,C3,Tufed,p
11 Days,Amphibromus nervosus,Pooideae,Poeae,81,103,127.16,4,NA,9.63,8.41,302,484.02,102,4.75,337.75,C3,Tufed,p
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,51,0,0,NA,NA,15.6,3.27,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",p
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,37,0,0,NA,NA,13.45,2.75,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",p
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,55,0,0,NA,NA,15.6,3.53,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",p
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,0,0,NA,NA,15.6,2.89,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",p
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,59,0,0,NA,NA,31.83,1.85,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",p
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,72,73,101.39,2,NA,20.37,3.53,879,896.8,327,2.74,372.01,C3,"Tufted, shortly rhizomatous",p
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,61,0,0,NA,NA,31.83,1.92,879,896.8,327,2.74,372.01,C3,"Tufted, shortly rhizomatous",p
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,71,0,0,NA,NA,17.9,3.97,879,896.8,327,2.74,372.01,C3,"Tufted, shortly rhizomatous",p
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,84,0,0,NA,NA,25.78,3.26,879,896.8,327,2.74,372.01,C3,"Tufted, shortly rhizomatous",p
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,80,82,102.5,2,NA,35.09,2.28,879,896.8,327,2.74,372.01,C3,"Tufted, shortly rhizomatous",p
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,35,12,34.29,4,NA,15.6,2.24,1153,1198.25,531,2.26,460.54,C3,"Tufted, shortly rhizomatous",p
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,47,104.44,2,NA,11.46,3.93,1153,1198.25,531,2.26,460.54,C3,"Tufted, shortly rhizomatous",p
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,82,70,85.37,2,NA,28.73,2.85,1153,1198.25,531,2.26,460.54,C3,"Tufted, shortly rhizomatous",p
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,35,77.78,2,NA,25.78,1.75,1153,1198.25,531,2.26,460.54,C3,"Tufted, shortly rhizomatous",p
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,65,58,89.23,4,NA,45.84,1.42,1153,1198.25,531,2.26,460.54,C3,"Tufted, shortly rhizomatous",p
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,88,0,0,NA,NA,31.83,2.76,2073,2256.8,757,2.98,365.17,C3,Tufted,p
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,41,3,7.32,4,NA,17.9,2.29,2073,2256.8,757,2.98,365.17,C3,Tufted,p
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,104,0,0,NA,NA,20.37,5.11,2073,2256.8,757,2.98,365.17,C3,Tufted,p
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,186,0,0,NA,NA,53.79,3.46,2073,2256.8,757,2.98,365.17,C3,Tufted,p
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,10,0,0,NA,NA,9.63,1.04,2073,2256.8,757,2.98,365.17,C3,Tufted,p
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,74,130,175.68,2,NA,23,3.22,1865,1916.93,774,2.48,415.01,C3,Tufted,p
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,110,63,57.27,2,NA,20.37,5.4,1865,1916.93,774,2.48,415.01,C3,Tufted,p
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,66,61,92.42,2,NA,20.37,3.24,1865,1916.93,774,2.48,415.01,C3,Tufted,p
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,70,45,64.29,4,NA,25.78,2.71,1865,1916.93,774,2.48,415.01,C3,Tufted,p
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,27,0,0,NA,NA,9.63,2.8,1865,1916.93,774,2.48,415.01,C3,Tufted,p
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,45,31,68.89,4,NA,25.78,1.75,1553,2026.57,634,3.2,408.24,C3,Tufted,p
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,90,79,87.78,4,NA,25.78,3.49,1553,2026.57,634,3.2,408.24,C3,Tufted,p
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,55,39,70.91,2,NA,17.9,3.07,1553,2026.57,634,3.2,408.24,C3,Tufted,p
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,62,58,93.55,4,NA,20.37,3.04,1553,2026.57,634,3.2,408.24,C3,Tufted,p
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,73,89,121.92,6,NA,23,3.17,1553,2026.57,634,3.2,408.24,C3,Tufted,p
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,48,42,87.5,4,7,15.6,3.08,869,1702,230,7.4,264.67,C4,Rhizomatous,p
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,40,27,67.5,8,6,17.9,2.23,869,1702,230,7.4,264.67,C4,Rhizomatous,p
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,54,31,57.41,4,8,71.62,0.75,869,1702,230,7.4,264.67,C4,Rhizomatous,p
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,39,0,0,NA,NA,62.39,0.63,869,1702,230,7.4,264.67,C4,Rhizomatous,p
4 Days,Bothriochloa macra,Panicoideae,Andropogoneae,37,31,83.78,8,7,25.78,1.44,869,1702,230,7.4,264.67,C4,Rhizomatous,p
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,51,62,121.57,6,7,42.1,1.21,727,1718.67,187,9.19,257.22,C4,Rhizomatous,p
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,2,4.88,8,NA,31.83,1.29,727,1718.67,187,9.19,257.22,C4,Rhizomatous,p
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,46,61,132.61,4,7,31.83,1.45,727,1718.67,187,9.19,257.22,C4,Rhizomatous,p
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,38,0,0,NA,NA,23,1.65,727,1718.67,187,9.19,257.22,C4,Rhizomatous,p
8 Days,Bothriochloa macra,Panicoideae,Andropogoneae,48,21,43.75,8,7,42.1,1.14,727,1718.67,187,9.19,257.22,C4,Rhizomatous,p
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,33,80.49,8,7,28.73,1.43,613,1433.69,211,6.79,344.21,C4,Rhizomatous,p
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,33,51,154.55,6,7,71.62,0.46,613,1433.69,211,6.79,344.21,C4,Rhizomatous,p
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,41,24,58.54,6,NA,25.78,1.59,613,1433.69,211,6.79,344.21,C4,Rhizomatous,p
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,47,47,100,6,6,53.79,0.87,613,1433.69,211,6.79,344.21,C4,Rhizomatous,p
11 Days,Bothriochloa macra,Panicoideae,Andropogoneae,43,19,44.19,6,8,28.73,1.5,613,1433.69,211,6.79,344.21,C4,Rhizomatous,p
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,8,8,6,6,86.66,1.15,1351,1644,415,3.96,307.18,C4,Tufted,p
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,34,34,4,6,58.01,1.72,1351,1644,415,3.96,307.18,C4,Tufted,p
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,117,4,3.42,4,NA,49.74,2.35,1351,1644,415,3.96,307.18,C4,Tufted,p
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,45,17,37.78,4,NA,127.32,0.35,1351,1644,415,3.96,307.18,C4,Tufted,p
4 Days,Chloris truncata,Chloridoideae,Cynodonteae,125,22,17.6,4,5,58.01,2.15,1351,1644,415,3.96,307.18,C4,Tufted,p
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,106,48,45.28,2,5,103.13,1.03,806,1578.86,224,7.05,277.92,C4,Tufted,p
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,98,65,66.33,2,6,91.99,1.07,806,1578.86,224,7.05,277.92,C4,Tufted,p
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,117,41,35.04,4,5,108.94,1.07,806,1578.86,224,7.05,277.92,C4,Tufted,p
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,110,50,45.45,2,6,103.13,1.07,806,1578.86,224,7.05,277.92,C4,Tufted,p
8 Days,Chloris truncata,Chloridoideae,Cynodonteae,100,14,14,4,6,86.66,1.15,806,1578.86,224,7.05,277.92,C4,Tufted,p
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,54,53,98.15,4,5,81.49,0.66,752,1307.56,222,5.89,295.21,C4,Tufted,p
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,119,48,40.34,2,6,31.83,3.74,752,1307.56,222,5.89,295.21,C4,Tufted,p
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,71,37,52.11,2,5,91.99,0.77,752,1307.56,222,5.89,295.21,C4,Tufted,p
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,55,54,98.18,2,4,81.49,0.67,752,1307.56,222,5.89,295.21,C4,Tufted,p
11 Days,Chloris truncata,Chloridoideae,Cynodonteae,89,81,91.01,4,6,42.1,2.11,752,1307.56,222,5.89,295.21,C4,Tufted,p
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,128,76,59.38,4,10,35.09,3.65,1460,2180.07,423,5.15,289.73,C4,Tufted,p
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,123,11,8.94,4,NA,31.83,3.86,1460,2180.07,423,5.15,289.73,C4,Tufted,p
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,120,28,23.33,4,NA,31.83,3.77,1460,2180.07,423,5.15,289.73,C4,Tufted,p
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,103,38,36.89,4,NA,23,4.48,1460,2180.07,423,5.15,289.73,C4,Tufted,p
4 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,106,14,13.21,4,NA,25.78,4.11,1460,2180.07,423,5.15,289.73,C4,Tufted,p
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,80,19,23.75,4,NA,31.83,2.51,824,1838.74,310,5.93,376.21,C4,Tufted,p
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,116,80,68.97,2,NA,31.83,3.64,824,1838.74,310,5.93,376.21,C4,Tufted,p
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,79,59,74.68,4,NA,25.78,3.06,824,1838.74,310,5.93,376.21,C4,Tufted,p
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,109,27,24.77,4,11,28.73,3.79,824,1838.74,310,5.93,376.21,C4,Tufted,p
8 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,69,34,49.28,2,11,25.78,2.68,824,1838.74,310,5.93,376.21,C4,Tufted,p
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,92,91,98.91,6,11,23,4,819,1778.02,307,5.79,374.85,C4,Tufted,p
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,120,47,39.17,4,NA,31.83,3.77,819,1778.02,307,5.79,374.85,C4,Tufted,p
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,83,84,101.2,2,NA,25.78,3.22,819,1778.02,307,5.79,374.85,C4,Tufted,p
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,39,34,87.18,4,NA,28.73,1.36,819,1778.02,307,5.79,374.85,C4,Tufted,p
11 Days,Cymbopogon refractus,Panicoideae,Andropogoneae,52,68,130.77,4,11,17.9,2.9,819,1778.02,307,5.79,374.85,C4,Tufted,p
4 Days,Digitaria brownii,Panicoideae,Paniceae,121,74,61.16,4,6,23,5.26,353,672.69,96,7.01,271.95,C4,Rhizomatous,p
4 Days,Digitaria brownii,Panicoideae,Paniceae,154,73,47.4,6,6,28.73,5.36,353,672.69,96,7.01,271.95,C4,Rhizomatous,p
4 Days,Digitaria brownii,Panicoideae,Paniceae,203,64,31.53,4,8,31.83,6.38,353,672.69,96,7.01,271.95,C4,Rhizomatous,p
4 Days,Digitaria brownii,Panicoideae,Paniceae,125,72,57.6,4,6,49.74,2.51,353,672.69,96,7.01,271.95,C4,Rhizomatous,p
4 Days,Digitaria brownii,Panicoideae,Paniceae,137,82,59.85,4,6,35.09,3.9,353,672.69,96,7.01,271.95,C4,Rhizomatous,p
8 Days,Digitaria brownii,Panicoideae,Paniceae,151,111,73.51,4,6,31.83,4.74,305,663.39,87,7.63,285.25,C4,Rhizomatous,p
8 Days,Digitaria brownii,Panicoideae,Paniceae,161,149,92.55,2,6,31.83,5.06,305,663.39,87,7.63,285.25,C4,Rhizomatous,p
8 Days,Digitaria brownii,Panicoideae,Paniceae,106,81,76.42,4,7,23,4.61,305,663.39,87,7.63,285.25,C4,Rhizomatous,p
8 Days,Digitaria brownii,Panicoideae,Paniceae,164,105,64.02,4,7,35.09,4.67,305,663.39,87,7.63,285.25,C4,Rhizomatous,p
